Language,Type,Relation,Region,word_string,word_string_type,count,dlevel,cell_count,language_glottolog,id,name,latitude,longitude,family_id,family_name,is_distance_symmetric,is_relation_symmetric
Bantawa,D3,Place,asia,khoda,1,9,3,9,Bantawa,bant1281,Bantawa,27.12147,87.04738,sino1245,Sino-Tibetan,TRUE,TRUE
Bantawa,D3,Source,asia,khodaŋka,2,9,3,9,Bantawa,bant1281,Bantawa,27.12147,87.04738,sino1245,Sino-Tibetan,TRUE,TRUE
Basque,D1,Goal,europe,hona,6,9,3,9,Basque,basq1248,Basque,43.2787,-1.31622,NA,isolate,TRUE,TRUE
Basque,D1,Place,europe,hemen|hemen,4,9,3,9,Basque,basq1248,Basque,43.2787,-1.31622,NA,isolate,TRUE,TRUE
Basque,D1,Source,europe,hemendik,5,9,3,9,Basque,basq1248,Basque,43.2787,-1.31622,NA,isolate,TRUE,TRUE
Basque,D2,Goal,europe,horra,8,9,3,9,Basque,basq1248,Basque,43.2787,-1.31622,NA,isolate,TRUE,TRUE
Basque,D2,Place,europe,hor,7,9,3,9,Basque,basq1248,Basque,43.2787,-1.31622,NA,isolate,TRUE,TRUE
Basque,D2,Source,europe,hortik,9,9,3,9,Basque,basq1248,Basque,43.2787,-1.31622,NA,isolate,TRUE,TRUE
Basque,D3,Goal,europe,hara,3,9,3,9,Basque,basq1248,Basque,43.2787,-1.31622,NA,isolate,TRUE,TRUE
Basque,D3,Place,europe,han,1,9,3,9,Basque,basq1248,Basque,43.2787,-1.31622,NA,isolate,TRUE,TRUE
Basque,D3,Source,europe,handik,2,9,3,9,Basque,basq1248,Basque,43.2787,-1.31622,NA,isolate,TRUE,TRUE
Belarusian,D1,Goal,europe,sjudy,3,6,2,6,Belarusian,bela1254,Belarusian,53.2307,25.6038,indo1319,Indo-European,TRUE,TRUE
Belarusian,D1,Place,europe,tut,6,6,2,6,Belarusian,bela1254,Belarusian,53.2307,25.6038,indo1319,Indo-European,TRUE,TRUE
Belarusian,D1,Source,europe,adgėtulʼ|adsjulʼ,1,6,2,6,Belarusian,bela1254,Belarusian,53.2307,25.6038,indo1319,Indo-European,TRUE,TRUE
Belarusian,D2,Goal,europe,tudy,5,6,2,6,Belarusian,bela1254,Belarusian,53.2307,25.6038,indo1319,Indo-European,TRUE,TRUE
Belarusian,D2,Place,europe,tam,4,6,2,6,Belarusian,bela1254,Belarusian,53.2307,25.6038,indo1319,Indo-European,TRUE,TRUE
Belarusian,D2,Source,europe,adtjulʼ,2,6,2,6,Belarusian,bela1254,Belarusian,53.2307,25.6038,indo1319,Indo-European,TRUE,TRUE
Bengali,D1,Goal,asia,ekhane,2,8,3,9,Bengali,beng1280,Bengali,24,90,indo1319,Indo-European,FALSE,FALSE
Bengali,D1,Place,asia,ekhane|ɔtrô,3,8,3,9,Bengali,beng1280,Bengali,24,90,indo1319,Indo-European,FALSE,FALSE
Bengali,D1,Source,asia,ekhan theke,1,8,3,9,Bengali,beng1280,Bengali,24,90,indo1319,Indo-European,FALSE,FALSE
Bengali,D2,Goal,asia,sekhane,7,8,3,9,Bengali,beng1280,Bengali,24,90,indo1319,Indo-European,FALSE,FALSE
Bengali,D2,Place,asia,sekhane|tɔtha|tɔtrô,8,8,3,9,Bengali,beng1280,Bengali,24,90,indo1319,Indo-European,FALSE,FALSE
Bengali,D2,Source,asia,sekhan theke,6,8,3,9,Bengali,beng1280,Bengali,24,90,indo1319,Indo-European,FALSE,FALSE
Bengali,D3,Goal,asia,okhane,5,8,3,9,Bengali,beng1280,Bengali,24,90,indo1319,Indo-European,FALSE,FALSE
