language,name,iso_639_3,genus,family,fusion,source,level,tense,remoteness,obligatoriness,gcode,extra_count,complexity
Matsés [mcf],Matsés,mcf,Panoan,Panoan,Concatenative,"(Fleck 2003: 395ff, 431)",3,Past / Future / Nonpast,Past: 3,obligatory,mats1244,2,5
Maung [mph],Maung,mph,Iwaidjan,Australian,Concatenative*,"(Capell & Hinch 1970: 67ff, 73ff, 78ff)",3,Present / Past / Future,–,obligatory,maun1240,0,3
Mauwake [mhl],Mauwake,mhl,Madang,Trans-New Guinea,Concatenative,(Berghäll 2010: 17),3,Present / Past / Future,–,obligatory,mauw1238,0,3
Mbodomo (Gbaya- Mbodomo) [gmm],Mbodomo (Gbaya- Mbodomo),gmm,Gbaya-Manza- Ngbaka,Niger-Congo,Isolating/ Concatenative,(Boyd 1997: 96ff),3,Present / Past / Future,–,obligatory,gbay1281,0,3
Mochica [-],Mochica,-,Chimúan,Chimúan,Concatenative,(Adelaar & Muysken 2004: 336f),3,Present / Past / Future,Past: 2,obligatory,moch1259,1,4
Moro [mor],Moro,mor,Heiban,Kordofanian,Concatenative/ Non-linear,(Black & Black 1971: passim),3,Present / Past / Future,–,obligatory,moro1285,0,3
"Nahuatl, Tetelcingo [nhg]","Nahuatl, Tetelcingo",nhg,Aztecan,Uto-Aztecan,Concatenative,(Tuggy 1982: 112f),3,Present / Past / Future,–,obligatory,tete1251,0,3
Nasioi (Naasioi) [nas],Nasioi (Naasioi),nas,East Bougainville,East Bougainville,Concatenative,(Hurd & Hurd 1970: 57ff),3,Present / Past / Future,Past: 3 / Future: 2,obligatory,naas1242,3,6
Nez Perce [nez],Nez Perce,nez,Sahaptian,Penutian,Concatenative,(Rude 1985: 51ff),3,Present / Past / Future,Past: 2,obligatory,nezp1238,1,4
Ngäbere [gym],Ngäbere,gym,Guaymi,Chibchan,Concatenative,(Alphonse 1956: 26f),3,Present / Past / Future,Past: 2,obligatory,ngab1239,1,4
Ngardi [-],Ngardi,-,Ngardi,Australian,Concatenative,(Honeyman 2005: 43),3,Present / Past / Future,–,obligatory,ngar1288,0,3
Nuuchahnulth (Nootka) [noo],Nuuchahnulth (Nootka),noo,Southern Wakashan,Wakashan,Concatenative,"(Davidson 2002: 104ff, passim)",3,Nonfuture / Anterior / Posterior,–,optional,noot1239,0,3
"Ocuilteco (Matlatzinca, Atzingo) [ocu]","Ocuilteco (Matlatzinca, Atzingo)",ocu,Otomian,Oto-Manguean,Concatenative,"(Muntzel 1986: 105, 111, 117)",3,Present / Past / Future,–,obligatory,atzi1235,0,3
