"language","language_glottolog","id","name","latitude","longitude","family_id","family_name"
"Wambaya ","Wambaya-Gudanji","guda1242","Wambaya-Gudanji",-17.42,134.73,"mirn1241","Mirndi"
"Ukrainian ","Ukrainian","ukra1253","Ukrainian",49.796,29.945,"indo1319","Indo-European"
"Russian ","Russian","russ1263","Russian",59,50,"indo1319","Indo-European"
"Belarusian","Belarusian","bela1254","Belarusian",53.2307,25.6038,"indo1319","Indo-European"
"Sorbian,Upper ","Upper Sorbian","uppe1395","Upper Sorbian",51.2403,14.4098,"indo1319","Indo-European"
"Norwegian ","Norwegian","norw1258","Norwegian",59.92,10.71,"indo1319","Indo-European"
"Cree ","Moose Cree","moos1236","Moose Cree",51.0686,-80.6912,"algi1248","Algic"
"Nii ","Nii","niii1240","Nii",-5.763,144.518,"nucl1709","Nuclear Trans New Guinea"
"Zay ","Zay","zayy1238","Zay",8.01148,38.8258,"afro1255","Afro-Asiatic"
"Vietnamese ","Vietnamese","viet1252","Vietnamese",20.681188,105.774071,"aust1305","Austroasiatic"
"Hamar ","Hamer-Banna","hame1242","Hamer-Banna",5.06515,36.5176,"sout2845","South Omotic"
"Hindi ","Hindi","hind1269","Hindi",25,77,"indo1319","Indo-European"
"Swedish ","Swedish","swed1254","Swedish",59.800634,17.389526,"indo1319","Indo-European"
"Bulgarian","Bulgarian","bulg1262","Bulgarian",43.3646,25.047,"indo1319","Indo-European"
"Slavomolisano ","Slavomolisano","slav1254","Slavomolisano",41.89,14.7,"indo1319","Indo-European"
"Evenki ","Evenki","even1259","Evenki",61.972,94.689,"tung1282","Tungusic"
"Icelandic ","Icelandic","icel1247","Icelandic",63.4837,-19.0212,"indo1319","Indo-European"
"Udihe ","Udihe","udih1248","Udihe",46.63086,135.67762,"tung1282","Tungusic"
"Pitjantjatjara ","Pitjantjatjara","pitj1243","Pitjantjatjara",-26.9704,131.357,"pama1250","Pama-Nyungan"
"Dakota ","Dakota","dako1258","Dakota",45.86,-96.58,"siou1252","Siouan"
"Dyirbal ","Dyirbal","dyir1250","Dyirbal",-17.4516,145.544,"pama1250","Pama-Nyungan"
"Amharic ","Amharic","amha1245","Amharic",11.708182,39.543456,"afro1255","Afro-Asiatic"
"Martuthunira ","Martuthunira","mart1255","Martuthunira",-20.9294,116.607,"pama1250","Pama-Nyungan"
"Wolaytta ","Wolaytta","wola1242","Wolaytta",6.32668,37.7537,"gong1255","Ta-Ne-Omotic"
"Lamut ","Even","even1260","Even",70.6687,130.914,"tung1282","Tungusic"
"Savosavo ","Savosavo","savo1255","Savosavo",-9.12853,159.814,"","isolate"
"Burmese ","Burmese","nucl1310","Burmese",20.7926,93.9665,"sino1245","Sino-Tibetan"
"Faroese ","Faroese","faro1244","Faroese",62.0732,-6.88497,"indo1319","Indo-European"
"Serbian ","Serbian-Croatian-Bosnian","sout1528","Serbian-Croatian-Bosnian",44.15,18.81,"indo1319","Indo-European"
"Lezgian ","Lezgian","lezg1247","Lezgian",41.5157,47.8951,"nakh1245","Nakh-Daghestanian"
"Rumantsch ","Romansh","roma1326","Romansh",46.5538,9.92812,"indo1319","Indo-European"
"Imonda ","Imonda","imon1245","Imonda",-3.31228,141.171,"bord1247","Border"
"Romanian ","Romanian","roma1327","Romanian",46.3913,24.2256,"indo1319","Indo-European"
"Hebrew ","Modern Hebrew","hebr1245","Modern Hebrew",31.1056,35.0179,"afro1255","Afro-Asiatic"
"Temiar ","Temiar","temi1246","Temiar",4.974,101.438,"aust1305","Austroasiatic"
"Panjabi ","Eastern Panjabi","panj1256","Eastern Panjabi",30.0368,75.6702,"indo1319","Indo-European"
"Nez Perce ","Nez Perce","nezp1238","Nez Perce",46.3073,-116.408,"saha1239","Sahaptian"
"Blackfoot ","Siksika","siks1238","Siksika",49.0669,-113.109,"algi1248","Algic"
"Chinese ","Mandarin Chinese","mand1415","Mandarin Chinese",40.0209,116.228,"sino1245","Sino-Tibetan"
"Wapishana ","Wapishana","wapi1253","Wapishana",2.58744,-59.8021,"araw1281","Arawakan"
"Lithuanian ","Lithuanian","lith1251","Lithuanian",55.1429,23.9601,"indo1319","Indo-European"
"Koḍava ","Kodava","koda1255","Kodava",12.2443,75.9161,"drav1251","Dravidian"
"Rawa ","Rawa","rawa1267","Rawa",-5.83155,145.937,"nucl1709","Nuclear Trans New Guinea"
"Hawaiian ","Hawaiian","hawa1245","Hawaiian",19.6297,-155.43,"aust1307","Austronesian"
"Croatian ","Serbian-Croatian-Bosnian","sout1528","Serbian-Croatian-Bosnian",44.15,18.81,"indo1319","Indo-European"
"Vogul ","Central Mansi","cent2322","Central Mansi",61.1432,62.4023,"ural1272","Uralic"
"Slovak ","Slovak","slov1269","Slovak",48.545705,18.78479,"indo1319","Indo-European"
"Hungarian ","Hungarian","hung1274","Hungarian",46.9068585714,19.6555271429,"ural1272","Uralic"
"Dutch ","Dutch","dutc1256","Dutch",52,5,"indo1319","Indo-European"
"Tigrinya ","Tigrinya","tigr1271","Tigrinya",15.3359,38.9266,"afro1255","Afro-Asiatic"
"Danish ","Danish","dani1285","Danish",54.8655,9.36284,"indo1319","Indo-European"
"Sorbian, Lower ","Lower Sorbian","lowe1385","Lower Sorbian",51.6621,13.9407,"indo1319","Indo-European"
"Kumeyaay ","Ipai","ipai1240","Ipai",33.005,-116.993,"coch1271","Cochimi-Yuman"
"Manchu ","Manchu","manc1252","Manchu",47.31225,126.55713,"tung1282","Tungusic"
"Tongan ","Tonga (Tonga Islands)","tong1325","Tonga (Tonga Islands)",-21.17,-175.25,"aust1307","Austronesian"
"Low German ","Eastern Low German","nort2627","Eastern Low German",53.115373,12.391439,"indo1319","Indo-European"
"Cantonese ","Cantonese","cant1236","Cantonese",23.0118,113.2021,"sino1245","Sino-Tibetan"
